;;Before;After;
org.palladiosimulator.simulizar;size of observed system;24;25;
org.palladiosimulator.simulizar;lines of code (LOC);2655;2681;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 1;109;110;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 2;19;19;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 3;10;10;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 4;6;6;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 5;3;3;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 6;1;1;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 7;0;0;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 8;1;1;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 9;0;0;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 10;0;0;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 11;0;0;
org.palladiosimulator.simulizar;cyclomatic complexity bucket 12;1;1;
org.palladiosimulator.simulizar;number of modules;75;76;
org.palladiosimulator.simulizar;number of nodes;276;277;
org.palladiosimulator.simulizar;number of edges;329;329;
org.palladiosimulator.simulizar;hypergraph size;19.333.668.930.525.600;19.357.417.995.716.800;1,001228378600900000000000000000
org.palladiosimulator.simulizar;hypergraph complexity;1.160.721.844.478.860;1.160.721.844.478.860;1,000000000000000000000000000000
org.palladiosimulator.simulizar;inter module coupling;6.654.771.875.565.060;6.658.183.592.443.240;1,000512672251130000000000000000
org.palladiosimulator.simulizar;graph cohesion;0,001428549;0,00141755;0,992300286516351000000000000000